Priority,Source,Title,ISWC,Status,In MLC,In BMI,Action Required
CRITICAL,BMI,BLOXK PARTY,T9249837910,Pending Society Review,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,GAME TIME,,Pending Society Review,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,I COME FROM THE GAME,T3002713573,Pending Society Review,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,PRESSIN,,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,AKTIVATED,T9320276333,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,ICEWEAR VEZZO FT SADA BABY 2 HANDS,,Pending Society Review,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,WHOLE LOTTA CHOPPAS,T3011449568,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,PRESSIN DELUXE ONLY,T3040937104,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,WHOLE LOTTA CHOPPAS REMIX FEATURING NICKI MINAJ,T3076542462,Pending Society Review,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,GAME 7,,Pending Society Review,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,LITTLE WHILE FEAT BIG SEAN AND HIT BOY,T3077370293,Pending Society Review,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,PRESSIN REMIX,T3071749736,Reconciled,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,BENCH PRESSIN,T3138329525,Reconciled,NO,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,GAME 5,T3179905041,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,BMI,OVER PRESSIN,T3371811171,Reconciled,YES,YES,"Verify MLC registration; if not registered, register immediately"
CRITICAL,MLC,AKTIVATED,,,YES,YES,"Verify BMI registration; if not registered, register immediately"
CRITICAL,MLC,PRESSIN' (DELUXE ONLY),T3040937104,,YES,YES,"Verify BMI registration; if not registered, register immediately"
CRITICAL,MLC,WHOLE LOTTA CHOPPAS (REMIX FEATURING NICKI MINAJ),T3076542462,,YES,YES,"Verify BMI registration; if not registered, register immediately"
CRITICAL,MLC,LITTLE WHILE (FEAT. BIG SEAN & HIT-BOY),T3073103450,,YES,NO,"Verify BMI registration; if not registered, register immediately"
CRITICAL,MLC,GAME 5,,,YES,YES,"Verify BMI registration; if not registered, register immediately"
CRITICAL,MLC,OVER PRESSIN,,,YES,YES,"Verify BMI registration; if not registered, register immediately"
