Priority,Track Title,Label,Year,ASCAP,BMI,MLC,Status,Action Required
MEDIUM,150/55,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,50 Shades of Red,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,5nem,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Aunty Stella,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Free 8 Ball,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Free Jig,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Horse Play 2,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Kam and Kauri,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Kooler Final Form,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Kourtside,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Silver Back,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Trap Withdrawals,Independent,2020,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
